name,category
Barmanská lyžička Stalgast® zakrútená - 28 cm,Bar a káva | Barové príslušenstvo
"Barmanská lyžička \""CITY\"" Stalgast®",Bar a káva | Barové príslušenstvo
Barmanské sitko Stalgast®,Bar a káva | Barové príslušenstvo
Barmanský cedník Stalgast®,Bar a káva | Barové príslušenstvo
Barmanský otvárač Stalgast®,Bar a káva | Barové príslušenstvo
"Barová lyžička \""CITY\"" Stalgast®",Bar a káva | Barové príslušenstvo
Barová podpultová chladnička 1x dvere - výška 870 mm,Chladiaci program | Presklené chladničky
Barová podpultová chladnička 2x dvere - výška 870 mm,Chladiaci program | Presklené chladničky
Barová podpultová chladnička 3x dvere - výška 870 mm,Chladiaci program | Presklené chladničky
Barový stojan na servítky a slamky Stalgast®,Bar a káva | Barové príslušenstvo
Bateria s dlhou pákou Gastromarket 30 cm,Umývací program | Umývacie batérie a sprchy | Stolové batérie
Bateria so sprchou Gastromarket,Umývací program | Umývacie batérie a sprchy | Stolové batérie
Batéria drezová - 23 cm,Umývací program | Umývacie batérie a sprchy | Stolové batérie
Batéria napúštacia PREMIUM - 25 cm,Umývací program | Umývacie batérie a sprchy | Stolové batérie
Batéria napúštacia PREMIUM - 30 cm,Umývacie zariadenia | Umývacie batérie a sprchy | Stolové batérie
Batéria napúštacia PREMIUM - 35 cm,Umývací program | Umývacie batérie a sprchy | Stolové batérie
Batéria plnonerezová Premium - jednopáková,Umývací program | Umývacie batérie a sprchy | Stolové batérie
Batéria s dlhou pákou Gastromarket 23 cm,Umývací program | Umývacie batérie a sprchy | Stolové batérie
Batéria vysoká - 22 cm,Umývací program | Umývacie batérie a sprchy | Stolové batérie
Batéria vysoká - 30 cm,Umývací program | Umývacie batérie a sprchy | Stolové batérie
Batéria vysoká PREMIUM - 25 cm,Umývací program | Umývacie batérie a sprchy | Stolové batérie
Batéria vysoká PREMIUM - 30 cm,Umývací program | Umývacie batérie a sprchy | Stolové batérie
Batéria vysoká PREMIUM - 35 cm,Umývací program | Umývacie batérie a sprchy | Stolové batérie
Biela chladnička 130 l STALGAST®,Chladiaci program | Biele chladničky a mrazničky EKO
Biela chladnička 350 l STALGAST®,Chladiaci program | Biele chladničky a mrazničky EKO
Biela chladnička 600 l STALGAST®,Chladiaci program | Biele chladničky a mrazničky EKO
Biela mraznička 350 l STALGAST®,Chladiaci program | Biele chladničky a mrazničky EKO
Biela mraznička 600 l STALGAST®,Chladiaci program | Biele chladničky a mrazničky EKO
Biela stolová vitrína 100 l,Vitríny | Stolové chladené vitríny - oblé
Bielá mraznička 120 l STALGAST®,Chladiaci program | Biele chladničky a mrazničky EKO
Blok 2 zásuviek - 270+360 mm,Bar a káva | Chladiace stoly na nápoje
Blok 2 zásuviek - 315+315 mm,Bar a káva | Chladiace stoly na nápoje
Blok 3 zásuviek - 3 x 187 mm,Bar a káva | Chladiace stoly na nápoje
Bombičky bal. Po 10 ks Hendi,Zmrzlina a pečenie | Šľahačka
Bombičky bal. po 24 ks Hendi,Zmrzlina a pečenie | Šľahačka
Bombičky do výrobníka sódy - 10ks,Bar a káva | Výroba sódy
Bombičky na šľahačku 50 ks Hendi,Zmrzlina a pečenie | Šľahačka
Bombičky na šľahačku pre fľaše PROFI - bal. po 10 ks,Zmrzlina a pečenie | Šľahačka
Bombičky na šľahačku pre fľaše PROFI - bal. po 24 ks,Zmrzlina a pečenie | Šľahačka
Bombičky na šľahačku pre fľaše PROFI - bal. po 50 ks,Zmrzlina a pečenie | Šľahačka
Bridlicova podložka hranatá s poklopom,Stolový inventár | Riad na servírovanie | Bridlicové podložky
"Bridlicová podložka GN1/1 - 53x32,5 cm",Stolový inventár | Riad na servírovanie | Bridlicové podložky
Bridlicová podložka GN1/1 s úchytmi - 53x32 cm,Stolový inventár | Riad na servírovanie | Bridlicové podložky
"Bridlicová podložka GN1/2 - 32,5x26,5 cm",Stolový inventár | Riad na servírovanie | Bridlicové podložky
Bridlicová podložka GN1/2 s úchytmi - 32x27 cm,Stolový inventár | Riad na servírovanie | Bridlicové podložky
"Bridlicová podložka GN1/3 - 32,5x17,6 cm",Stolový inventár | Riad na servírovanie | Bridlicové podložky
