Interné èíslo;Kat. èíslo rodièa;Kat. èíslo;EAN kód;Vidite¾nı;Vırobca;Názov tovaru;Hlavna kategória;Krátky popis;Dlhı popis;Bená cena;Stará cena;Bená cena bez DPH;Stará cena bez DPH;DPH;Poèet kusov;Váha;Dodacia doba;Min. obj. mnostvo;Body navyše;Obrázky;Popisy k obrázkom 1;Popisy k obrázkom 2;Popisy k obrázkom 3;Popisy k obrázkom 4;Popisy k obrázkom 5;Popisy k obrázkom 6;Popisy k obrázkom 7;Popisy k obrázkom 8;Popisy k obrázkom 9;Súvisiace tovary;Súbory na stiahnutie;SEO titulka;SEO popis;SEO k¾úèové slová;Odporúèanı;Akcia;Vıpredaj;Novinka;Char. Typ navigácie;Char. Poèet farieb displeja;Char. Podporované pamäové karty;Char. Rozlíšenie fotoaparátu;Char. Procesor telefónu;Char. Uhloprieèka displeja;Char. Håbka;Char. Vıška;Char. Štandardné príslušenstvo;Char. Obsiahnuté mapy;Char. Šírka;Char. Hlava;Char. Srdce;Char. Základ
25572270;25572240;FLCDUET09(POL)600;;1.0;;FL C DUET 09 (POL) 755x500x600 (kaviareò);Zariadenie interiéru/Stolové podnoe/Podstava z nerezovej ocele;"- minimálny poèet v objednávke 2ks
 - pracovná doska nie je v cene 
- exteriérová povrchová úprava +25% 
- pri väèšej objednávke individuálna cena na dopyt";;348.2499;0.0;283,13;0.0;23.0;1.0;0.1;;1.0;0.0;https://www.gastropro.sk/user/7686/upload/stuff/variants/25572270.jpg;;;;;;;;;;;;[category_name] |GastroPro.sk|;[category_name] Podstava z nerezovej ocele;Podstava z nerezovej ocele;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;
25572278;25572240;FLCDUET09(POL)720;;1.0;;FL C DUET 09 (POL) 755x500x720 (jedáleò);Zariadenie interiéru/Stolové podnoe/Podstava z nerezovej ocele;"- minimálny poèet v objednávke 2ks
 - pracovná doska nie je v cene 
- exteriérová povrchová úprava +25% 
- pri väèšej objednávke individuálna cena na dopyt";;361.40475;0.0;293,825;0.0;23.0;1.0;0.1;;1.0;0.0;https://www.gastropro.sk/user/7686/upload/stuff/variants/25572278.jpg;;;;;;;;;;;;[category_name] |GastroPro.sk|;[category_name] Podstava z nerezovej ocele;Podstava z nerezovej ocele;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;
25574373;25572240;FLCDUET09(POL)1060;;1.0;;FL C DUET 09 (POL) 755x500x1060 (bar);Zariadenie interiéru/Stolové podnoe/Podstava z nerezovej ocele;"- minimálny poèet v objednávke 2ks
 - pracovná doska nie je v cene 
- exteriérová povrchová úprava +25% 
- pri väèšej objednávke individuálna cena na dopyt";;411.3366;0.0;334,42;0.0;23.0;1.0;0.1;;1.0;0.0;https://www.gastropro.sk/user/7686/upload/stuff/variants/25574373.jpg;;;;;;;;;;;;[category_name] |GastroPro.sk|;[category_name] Podstava z nerezovej ocele;Podstava z nerezovej ocele;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;
25572233;0;25572233;;1.0;;FL C2 10 (POL);Zariadenie interiéru/Stolové podnoe/Podstava z nerezovej ocele;"- minimálny poèet v objednávke 2ks
 - pracovná doska nie je v cene
 - exteriérová povrchová úprava +25%
 - pri väèšej objednávke individuálna cena na dopyt";;322.93035000000003;0.0;262,545;0.0;23.0;1.0;0.1;;1.0;0.0;https://www.gastropro.sk/user/7686/upload/stuff/25977562.jpg;;;;;;;;;;;;[category_name] |GastroPro.sk|;[category_name] Podstava z nerezovej ocele;Podstava z nerezovej ocele;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;
25572235;25572233;FLC210(POL)600;;1.0;;FL C2 10 (POL) 615x420x600 (kaviareò);Zariadenie interiéru/Stolové podnoe/Podstava z nerezovej ocele;"- minimálny poèet v objednávke 2ks
 - pracovná doska nie je v cene
 - exteriérová povrchová úprava +25%
 - pri väèšej objednávke individuálna cena na dopyt";;322.93035000000003;0.0;262,545;0.0;23.0;1.0;0.1;;1.0;0.0;https://www.gastropro.sk/user/7686/upload/stuff/variants/25572235.jpg;;;;;;;;;;;;[category_name] |GastroPro.sk|;[category_name] Podstava z nerezovej ocele;Podstava z nerezovej ocele;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;
25572236;25572233;FLC210(POL)720;;1.0;;FL C2 10 (POL) 615x420x720 (jedáleò);Zariadenie interiéru/Stolové podnoe/Podstava z nerezovej ocele;"- minimálny poèet v objednávke 2ks
 - pracovná doska nie je v cene
 - exteriérová povrchová úprava +25%
 - pri väèšej objednávke individuálna cena na dopyt";;348.67425000000003;0.0;283,475;0.0;23.0;1.0;0.1;;1.0;0.0;https://www.gastropro.sk/user/7686/upload/stuff/variants/25572236.jpg;;;;;;;;;;;;[category_name] |GastroPro.sk|;[category_name] Podstava z nerezovej ocele;Podstava z nerezovej ocele;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;
25572237;25572233;FLC210(POL)1060;;1.0;;FL C2 10 (POL) 615x420x1060 (bar);Zariadenie interiéru/Stolové podnoe/Podstava z nerezovej ocele;"- minimálny poèet v objednávke 2ks
 - pracovná doska nie je v cene
 - exteriérová povrchová úprava +25%
 - pri väèšej objednávke individuálna cena na dopyt";;421.521;0.0;342,7;0.0;23.0;1.0;0.1;;1.0;0.0;https://www.gastropro.sk/user/7686/upload/stuff/variants/25572237.jpg;;;;;;;;;;;;[category_name] |GastroPro.sk|;[category_name] Podstava z nerezovej ocele;Podstava z nerezovej ocele;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;
25572226;0;25572226;;1.0;;FL C2 09 (POL);Zariadenie interiéru/Stolové podnoe/Podstava z nerezovej ocele;"- minimálny poèet v objednávke 2ks
 - pracovná doska nie je v cene
 - exteriérová povrchová úprava +25%
 - pri väèšej objednávke individuálna cena na dopyt";;280.21245;0.0;227,815;0.0;23.0;1.0;0.1;;1.0;0.0;https://www.gastropro.sk/user/7686/upload/stuff/25977555.jpg;;;;;;;;;;;;[category_name] |GastroPro.sk|;[category_name] Podstava z nerezovej ocele;Podstava z nerezovej ocele;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;
25572230;25572226;FLC209(POL)600;;1.0;;FL C2 09 (POL) 615x420x600 (kaviareò);Zariadenie interiéru/Stolové podnoe/Podstava z nerezovej ocele;"- minimálny poèet v objednávke 2ks
 - pracovná doska nie je v cene
 - exteriérová povrchová úprava +25%
 - pri väèšej objednávke individuálna cena na dopyt";;280.21245;0.0;227,815;0.0;23.0;1.0;0.1;;1.0;0.0;https://www.gastropro.sk/user/7686/upload/stuff/variants/25572230.jpg;;;;;;;;;;;;[category_name] |GastroPro.sk|;[category_name] Podstava z nerezovej ocele;Podstava z nerezovej ocele;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;
25572231;25572226;FLC209(POL)720;;1.0;;FL C2 09 (POL) 615x420x720 (jedáleò);Zariadenie interiéru/Stolové podnoe/Podstava z nerezovej ocele;"- minimálny poèet v objednávke 2ks
 - pracovná doska nie je v cene
 - exteriérová povrchová úprava +25%
 - pri väèšej objednávke individuálna cena na dopyt";;297.8937;0.0;242,19;0.0;23.0;1.0;0.1;;1.0;0.0;https://www.gastropro.sk/user/7686/upload/stuff/variants/25572231.jpg;;;;;;;;;;;;[category_name] |GastroPro.sk|;[category_name] Podstava z nerezovej ocele;Podstava z nerezovej ocele;0.0;0.0;0.0;0.0;;;;;;;;;;;;;;
