name,category
Nalievatko – dávkovač 2 cl (2 ks),Bar a káva/Nalievatka a odmerky
Nalievatka farebné – zelené,Bar a káva/Nalievatka a odmerky
Nalievatka farebné – čierne,Bar a káva/Nalievatka a odmerky
Nalievatka farebné – oranžové,Bar a káva/Nalievatka a odmerky
Nalievatka farebné – žlté,Bar a káva/Nalievatka a odmerky
Nalievatka farebné – modré,Bar a káva/Nalievatka a odmerky
Podstava na kolieskach pre kontajnery 75 a 120 litrov,Meranie a hygiena/Kontajnery univerzálne/Podstava na kolieskach
Pokrievka s otvorom pre kontajner 120 litrov - čierna,Meranie a hygiena/Kontajnery univerzálne/Kontajnery šedé
Pokrievka pre kontajner 120 litrov - čierna,Meranie a hygiena/Kontajnery univerzálne/Kontajnery šedé
Pokrievka pre kontajner 75 litrov - čierna,Meranie a hygiena/Kontajnery univerzálne/Kontajnery šedé
Pokrievka pre kontajner 38 litrov - čierna,Meranie a hygiena/Kontajnery univerzálne/Kontajnery šedé
Kontajner univerzálny 120 litrov - čierny,Meranie a hygiena/Kontajnery univerzálne/Kontajnery šedé
Kontajner univerzálny 75 litrov - šedý,Meranie a hygiena/Kontajnery univerzálne/Kontajnery šedé
Kontajner univerzálny 38 litrov - čierny,Meranie a hygiena/Kontajnery univerzálne/Kontajnery šedé
Pokrievka s otvorom pre kontajner 120 litrov - zelená,Meranie a hygiena/Kontajnery univerzálne/Kontajnery zelené
Pokrievka pre kontajner 120 litrov - zelená,Meranie a hygiena/Kontajnery univerzálne/Kontajnery zelené
Pokrievka pre kontajner 75 litrov - zelená,Meranie a hygiena/Kontajnery univerzálne/Kontajnery zelené
Pokrievka pre kontajner 38 litrov - zelená,Meranie a hygiena/Kontajnery univerzálne/Kontajnery zelené
Kontajner univerzálny 120 litrov - zelený,Meranie a hygiena/Kontajnery univerzálne/Kontajnery zelené
Kontajner univerzálny 75 litrov - zelený,Meranie a hygiena/Kontajnery univerzálne/Kontajnery zelené
Kontajner univerzálny 38 litrov - zelený,Meranie a hygiena/Kontajnery univerzálne/Kontajnery zelené
Pokrievka s otvorom pre kontajner 120 litrov - modrá,Meranie a hygiena/Kontajnery univerzálne/Kontajnery modré
Pokrievka pre kontajner 120 litrov - modrá,Meranie a hygiena/Kontajnery univerzálne/Kontajnery modré
Pokrievka pre kontajner 75 litrov - modrá,Meranie a hygiena/Kontajnery univerzálne/Kontajnery modré
Pokrievka pre kontajner 38 litrov - modrá,Meranie a hygiena/Kontajnery univerzálne/Kontajnery modré
Kontajner univerzálny 120 litrov - modrý,Meranie a hygiena/Kontajnery univerzálne/Kontajnery modré
Kontajner univerzálny 75 litrov - modrý,Meranie a hygiena/Kontajnery univerzálne/Kontajnery modré
Kontajner univerzálny 38 litrov - modrý,Meranie a hygiena/Kontajnery univerzálne/Kontajnery modré
Pokrievka s otvorom pre kontajner 120 litrov - žltá,Meranie a hygiena/Kontajnery univerzálne/Kontajnery žlté
Pokrievka pre kontajner 120 litrov - žltá,Meranie a hygiena/Kontajnery univerzálne/Kontajnery žlté
Pokrievka pre kontajner 75 litrov - žltá,Meranie a hygiena/Kontajnery univerzálne/Kontajnery žlté
Pokrievka pre kontajner 38 litrov - žltá,Meranie a hygiena/Kontajnery univerzálne/Kontajnery žlté
Kontajner univerzálny 120 litrov - žltý,Meranie a hygiena/Kontajnery univerzálne/Kontajnery žlté
Kontajner univerzálny 75 litrov - žltý,Meranie a hygiena/Kontajnery univerzálne/Kontajnery žlté
Kontajner univerzálny 38 litrov - žltý,Meranie a hygiena/Kontajnery univerzálne/Kontajnery žlté
Digitálny kuchynský časovač,Meranie a hygiena/Teplomery
Digitálna sonda na pečenie,Meranie a hygiena/Teplomery
Digitálny teplomer  dĺžka sondy 12 cm,Meranie a hygiena/Teplomery
Digitálny teplomer,Meranie a hygiena/Teplomery
Digitálny teplomer so sondou,Meranie a hygiena/Teplomery
Kuchynská digitálna váha MIDI,Meranie a hygiena/Kuchynské váhy - neciahované
Kuchynská digitálna váha MINI,Meranie a hygiena/Kuchynské váhy - neciahované
Ciachovaná plošinová váha do 150 kg,Meranie a hygiena/Kuchynské váhy - ciachované
Lúskač na homáre / kôrovce,Kuchynské náradie/Rôzne
Luskáčik na orechy,Kuchynské náradie/Rôzne
Odkôstkovač olív,Kuchynské náradie/Rôzne
Odkôstkovač olív a čerešní,Kuchynské náradie/Rôzne
Multifunkčný nástroj Mac-Gyver,Kuchynské náradie/Rôzne
Ručný váľkač cesta,Zmrzlina a pekáreň/Práca s cestom
Tĺčik na mäso,Kuchynské náradie/Tĺčiky a perforátory
Univerzálny otvárač na konzervy,Kuchynské náradie/Otvárače na konzervy
Otvárač na konzervy PROFI XS,Kuchynské náradie/Otvárače na konzervy
"Odmerka nerezová - 0,5 l",Kuchynské náradie/Meranie
"Odmerky šálky 0,06 l až 0,25 l",Kuchynské náradie/Meranie
"Odmerky lyžičky 1,25 ml až 15 ml",Kuchynské náradie/Meranie
